Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Thailand,03/23/2020,599,1,44,15,101
,Japan,03/23/2020,1086,40,235,36,138
,Singapore,03/23/2020,455,2,144,1.2833,103.8333
,Nepal,03/23/2020,2,0,1,28.1667,84.25
,Malaysia,03/23/2020,1306,10,139,2.5,112.5
British Columbia,Canada,03/23/2020,424,10,4,49.2827,-123.1207
New South Wales,Australia,03/23/2020,533,6,4,-33.8688,151.2093
Victoria,Australia,03/23/2020,296,0,70,-37.8136,144.9631
Queensland,Australia,03/23/2020,221,0,8,-28.0167,153.4
,Cambodia,03/23/2020,84,0,1,11.55,104.9167
,Sri Lanka,03/23/2020,82,0,3,7,81
,Germany,03/23/2020,24873,94,266,51,9
,Finland,03/23/2020,626,1,10,64,26
,United Arab Emirates,03/23/2020,153,2,38,24,54
,Philippines,03/23/2020,380,25,17,13,122
,India,03/23/2020,396,7,27,21,78
,Italy,03/23/2020,59138,5476,7024,43,12
,Sweden,03/23/2020,1934,21,16,63,16
,Spain,03/23/2020,28768,1772,2575,40,-4
South Australia,Australia,03/23/2020,100,0,3,-34.9285,138.6007
,Belgium,03/23/2020,3401,75,263,50.8333,4
,Egypt,03/23/2020,327,14,56,26,30
From Diamond Princess,Australia,03/23/2020,0,0,0,35.4437,139.638
,Lebanon,03/23/2020,248,4,8,33.8547,35.8623
,Iraq,03/23/2020,233,20,57,33,44
,Oman,03/23/2020,55,0,17,21,57
,Afghanistan,03/23/2020,40,1,1,33,65
,Bahrain,03/23/2020,332,2,149,26.0275,50.55
,Kuwait,03/23/2020,188,0,27,29.5,47.75
,Algeria,03/23/2020,201,17,65,28.0339,1.6596
,Croatia,03/23/2020,254,1,5,45.1,15.2
,Switzerland,03/23/2020,7245,98,131,46.8182,8.2275
,Austria,03/23/2020,3244,16,9,47.5162,14.5501
,Israel,03/23/2020,1071,1,37,31,35
,Pakistan,03/23/2020,776,5,5,30.3753,69.3451
,Brazil,03/23/2020,1593,25,2,-14.235,-51.9253
,Georgia,03/23/2020,54,0,3,42.3154,43.3569
,Greece,03/23/2020,624,15,19,39.0742,21.8243
,North Macedonia,03/23/2020,114,1,1,41.6086,21.7453
,Norway,03/23/2020,2383,7,1,60.472,8.4689
,Romania,03/23/2020,433,3,64,45.9432,24.9668
,Estonia,03/23/2020,326,0,2,58.5953,25.0136
,San Marino,03/23/2020,160,20,4,43.9424,12.4578
,Belarus,03/23/2020,76,0,15,53.7098,27.9534
,Iceland,03/23/2020,568,1,36,64.9631,-19.0208
,Lithuania,03/23/2020,131,1,1,55.1694,23.8813
,Mexico,03/23/2020,251,2,4,23.6345,-102.5528
,New Zealand,03/23/2020,66,0,0,-40.9006,174.886
,Nigeria,03/23/2020,30,0,2,9.082,8.6753
Western Australia,Australia,03/23/2020,120,1,0,-31.9505,115.8605
,Ireland,03/23/2020,906,4,5,53.1424,-7.6921
,Luxembourg,03/23/2020,798,8,6,49.8153,6.1296
,Monaco,03/23/2020,23,0,1,43.7333,7.4167
,Qatar,03/23/2020,494,0,33,25.3548,51.1839
,Ecuador,03/23/2020,789,14,3,-1.8312,-78.1834
,Azerbaijan,03/23/2020,65,1,10,40.1431,47.5769
,Armenia,03/23/2020,194,0,2,40.0691,45.0382
,Dominican Republic,03/23/2020,202,3,0,18.7357,-70.1627
,Indonesia,03/23/2020,514,48,29,-0.7893,113.9213
,Portugal,03/23/2020,1600,14,5,39.3999,-8.2245
,Andorra,03/23/2020,113,1,1,42.5063,1.5218
Tasmania,Australia,03/23/2020,22,0,3,-41.4545,145.9707
,Latvia,03/23/2020,139,0,1,56.8796,24.6032
,Morocco,03/23/2020,115,4,3,31.7917,-7.0926
,Saudi Arabia,03/23/2020,511,0,16,24,45
,Senegal,03/23/2020,67,0,5,14.4974,-14.4524
