Province/State,Country/Region,Last update,confirmed,death,recovered,Lat,Long
,Afghanistan,03/27/2020,110,4,2,33,65
,Albania,03/27/2020,186,8,31,41.1533,20.1683
,Algeria,03/27/2020,409,26,29,28.0339,1.6596
,Andorra,03/27/2020,267,3,1,42.5063,1.5218
,Angola,03/27/2020,4,0,0,-11.2027,17.8739
,Antigua and Barbuda,03/27/2020,7,0,0,17.0608,-61.7964
,Argentina,03/27/2020,589,13,72,-38.4161,-63.6167
,Armenia,03/27/2020,329,1,28,40.0691,45.0382
Australian Capital Territory,Australia,03/27/2020,62,0,1,-35.4735,149.0124
New South Wales,Australia,03/27/2020,1405,7,4,-33.8688,151.2093
Northern Territory,Australia,03/27/2020,12,0,0,-12.4634,130.8456
Queensland,Australia,03/27/2020,555,1,8,-28.0167,153.4
South Australia,Australia,03/27/2020,257,0,6,-34.9285,138.6007
Tasmania,Australia,03/27/2020,47,0,3,-41.4545,145.9707
Victoria,Australia,03/27/2020,574,3,171,-37.8136,144.9631
Western Australia,Australia,03/27/2020,231,2,1,-31.9505,115.8605
,Austria,03/27/2020,7657,58,225,47.5162,14.5501
,Azerbaijan,03/27/2020,165,3,15,40.1431,47.5769
,Bahamas,03/27/2020,10,0,1,25.0343,-77.3963
,Bahrain,03/27/2020,466,4,227,26.0275,50.55
,Bangladesh,03/27/2020,48,5,15,23.685,90.3563
,Barbados,03/27/2020,24,0,0,13.1939,-59.5432
,Belarus,03/27/2020,94,0,32,53.7098,27.9534
,Belgium,03/27/2020,7284,289,858,50.8333,4
,Benin,03/27/2020,6,0,0,9.3077,2.3158
,Bhutan,03/27/2020,3,0,0,27.5142,90.4336
,Bolivia,03/27/2020,61,0,0,-16.2902,-63.5887
,Bosnia and Herzegovina,03/27/2020,237,4,0,43.9159,17.6791
,Brazil,03/27/2020,3417,92,5,-14.235,-51.9253
,Brunei,03/27/2020,115,0,6,4.5353,114.7277
,Bulgaria,03/27/2020,293,3,11,42.7339,25.4858
,Burkina Faso,03/27/2020,180,9,9,12.2383,-1.5616
,Cabo Verde,03/27/2020,5,1,12,16.5388,-23.0418
,Cambodia,03/27/2020,99,0,0,11.55,104.9167
,Cameroon,03/27/2020,91,2,11,3.848,11.5021
Alberta,Canada,03/27/2020,542,2,2,53.9333,-116.5765
British Columbia,Canada,03/27/2020,725,14,256,49.2827,-123.1207
Grand Princess,Canada,03/27/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,03/27/2020,39,1,0,53.7609,-98.8139
New Brunswick,Canada,03/27/2020,45,0,43,46.5653,-66.4619
Newfoundland and Labrador,Canada,03/27/2020,102,0,984,53.1355,-57.6604
Nova Scotia,Canada,03/27/2020,90,0,408,44.682,-63.7443
Ontario,Canada,03/27/2020,994,18,570,51.2538,-85.3232
Prince Edward Island,Canada,03/27/2020,9,0,295,46.5107,-63.4168
Quebec,Canada,03/27/2020,2024,18,123,52.9399,-73.5491
Saskatchewan,Canada,03/27/2020,95,0,1337,52.9399,-106.4509
,Central African Republic,03/27/2020,3,0,250,6.6111,20.9394
,Chad,03/27/2020,3,0,144,15.4542,18.7322
,Chile,03/27/2020,1610,5,168,-35.6751,-71.543
Anhui,China,03/27/2020,990,6,310,31.8257,117.2264
Beijing,China,03/27/2020,569,8,469,40.1824,116.4142
Chongqing,China,03/27/2020,578,6,1250,30.0572,107.874
Fujian,China,03/27/2020,331,1,110,26.0789,117.9874
Gansu,China,03/27/2020,136,2,61732,37.8099,101.0583
Guangdong,China,03/27/2020,1456,8,1014,23.3417,113.4244
Guangxi,China,03/27/2020,254,2,74,23.8298,108.7881
Guizhou,China,03/27/2020,146,2,631,26.8154,106.8748
Hainan,China,03/27/2020,168,6,934,19.1959,109.7453
Hebei,China,03/27/2020,319,6,92,39.549,116.1306
Heilongjiang,China,03/27/2020,484,13,124,47.862,127.7615
Henan,China,03/27/2020,1275,22,10,33.882,113.614
Hong Kong,China,03/27/2020,519,4,75,22.3,114.2
Hubei,China,03/27/2020,67801,3174,18,30.9756,112.2707
Hunan,China,03/27/2020,1018,4,242,27.6104,111.7088
Inner Mongolia,China,03/27/2020,92,1,752,44.0935,113.9448
Jiangsu,China,03/27/2020,641,0,334,32.9711,119.455
Jiangxi,China,03/27/2020,936,1,133,27.614,115.7221
Jilin,China,03/27/2020,95,1,536,43.6661,126.1923
Liaoning,China,03/27/2020,128,2,133,41.2956,122.6085
Macau,China,03/27/2020,33,0,1,22.1667,113.55
Ningxia,China,03/27/2020,75,0,73,37.2692,106.1655
Qinghai,China,03/27/2020,18,0,172,35.7452,95.9956
Shaanxi,China,03/27/2020,253,3,1222,35.1917,108.8701
Shandong,China,03/27/2020,772,7,10,36.3427,118.1498
Shanghai,China,03/27/2020,468,5,0,31.202,121.4491
Shanxi,China,03/27/2020,135,0,2,37.5777,112.2922
Sichuan,China,03/27/2020,548,3,3,30.6171,102.7103
Tianjin,China,03/27/2020,155,3,3,39.3054,117.323
Tibet,China,03/27/2020,1,0,37,31.6927,88.0924
Xinjiang,China,03/27/2020,76,3,597,41.1129,85.2401
Yunnan,China,03/27/2020,180,2,4,24.974,101.487
Zhejiang,China,03/27/2020,1247,1,15,29.1832,120.0934
,Colombia,03/27/2020,539,6,11,4.5709,-74.2973
,Congo (Brazzaville),03/27/2020,4,0,54,-4.0383,21.7587
,Congo (Kinshasa),03/27/2020,51,3,2,-4.0383,21.7587
,Costa Rica,03/27/2020,263,2,1,9.7489,-83.7534
,Cote d'Ivoire,03/27/2020,101,0,0,7.54,-5.5471
,Croatia,03/27/2020,586,3,0,45.1,15.2
,Diamond Princess,03/27/2020,712,10,3,0,0
,Cuba,03/27/2020,80,2,3,22,-80
,Cyprus,03/27/2020,162,5,116,35.1264,33.4299
,Czechia,03/27/2020,2279,9,0,49.8175,15.473
Faroe Islands,Denmark,03/27/2020,144,0,0,61.8926,-6.9118
Greenland,Denmark,03/27/2020,10,0,0,71.7069,-42.6043
,Denmark,03/27/2020,2046,52,11,56.2639,9.5018
,Djibouti,03/27/2020,12,0,0,11.8251,42.5903
,Dominican Republic,03/27/2020,581,20,0,18.7357,-70.1627
,Ecuador,03/27/2020,1595,36,0,-1.8312,-78.1834
,Egypt,03/27/2020,536,30,10,26,30
