Province/State,Country/Region,last_update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,04/08/2020,444,14,29,33,65
,Albania,04/08/2020,400,22,154,41.1533,20.1683
,Algeria,04/08/2020,1572,205,237,28.0339,1.6596
,Andorra,04/08/2020,564,23,52,42.5063,1.5218
,Angola,04/08/2020,19,2,2,-11.2027,17.8739
,Antigua and Barbuda,04/08/2020,19,2,0,17.0608,-61.7964
,Argentina,04/08/2020,1715,63,358,-38.4161,-63.6167
,Armenia,04/08/2020,881,9,114,40.0691,45.0382
Australian Capital Territory,Australia,04/08/2020,99,2,40,-35.4735,149.0124
New South Wales,Australia,04/08/2020,2734,21,4,-33.8688,151.2093
Northern Territory,Australia,04/08/2020,28,0,2,-12.4634,130.8456
Queensland,Australia,04/08/2020,943,4,173,-28.0167,153.4
South Australia,Australia,04/08/2020,415,2,53,-34.9285,138.6007
Tasmania,Australia,04/08/2020,98,3,26,-41.4545,145.9707
Victoria,Australia,04/08/2020,1212,12,620,-37.8136,144.9631
Western Australia,Australia,04/08/2020,481,6,162,-31.9505,115.8605
,Austria,04/08/2020,12942,273,4512,47.5162,14.5501
,Azerbaijan,04/08/2020,822,8,63,40.1431,47.5769
,Bahamas,04/08/2020,40,7,5,25.0343,-77.3963
,Bahrain,04/08/2020,823,5,477,26.0275,50.55
,Bangladesh,04/08/2020,218,20,33,23.685,90.3563
,Barbados,04/08/2020,63,3,8,13.1939,-59.5432
,Belarus,04/08/2020,1066,13,77,53.7098,27.9534
,Belgium,04/08/2020,23403,2240,4681,50.8333,4
,Benin,04/08/2020,26,1,0,9.3077,2.3158
,Bhutan,04/08/2020,5,0,5,27.5142,90.4336
,Bolivia,04/08/2020,210,15,2,-16.2902,-63.5887
,Bosnia and Herzegovina,04/08/2020,804,34,2,43.9159,17.6791
,Brazil,04/08/2020,16170,819,79,-14.235,-51.9253
,Brunei,04/08/2020,135,1,127,4.5353,114.7277
,Bulgaria,04/08/2020,593,24,91,42.7339,25.4858
,Burkina Faso,04/08/2020,414,23,42,12.2383,-1.5616
,Cabo Verde,04/08/2020,7,1,134,16.5388,-23.0418
,Cambodia,04/08/2020,117,0,1,11.55,104.9167
,Cameroon,04/08/2020,730,10,63,3.848,11.5021
Alberta,Canada,04/08/2020,1373,26,60,53.9333,-116.5765
British Columbia,Canada,04/08/2020,1291,43,4154,49.2827,-123.1207
Grand Princess,Canada,04/08/2020,13,0,0,37.6489,-122.6655
Manitoba,Canada,04/08/2020,217,3,2,53.7609,-98.8139
New Brunswick,Canada,04/08/2020,105,0,1115,46.5653,-66.4619
Newfoundland and Labrador,Canada,04/08/2020,228,1,984,53.1355,-57.6604
Nova Scotia,Canada,04/08/2020,310,1,455,44.682,-63.7443
Ontario,Canada,04/08/2020,5276,153,570,51.2538,-85.3232
Prince Edward Island,Canada,04/08/2020,25,1,308,46.5107,-63.4168
Quebec,Canada,04/08/2020,10031,175,133,52.9399,-73.5491
Saskatchewan,Canada,04/08/2020,260,3,1411,52.9399,-106.4509
,Central African Republic,04/08/2020,8,0,252,6.6111,20.9394
,Chad,04/08/2020,10,0,144,15.4542,18.7322
,Chile,04/08/2020,5546,48,162,-35.6751,-71.543
Anhui,China,04/08/2020,990,6,312,31.8257,117.2264
Beijing,China,04/08/2020,588,8,470,40.1824,116.4142
Chongqing,China,04/08/2020,579,6,1252,30.0572,107.874
Fujian,China,04/08/2020,351,1,264,26.0789,117.9874
Gansu,China,04/08/2020,139,2,64142,37.8099,101.0583
Guangdong,China,04/08/2020,1536,8,1014,23.3417,113.4244
Guangxi,China,04/08/2020,254,2,74,23.8298,108.7881
Guizhou,China,04/08/2020,146,2,633,26.8154,106.8748
Hainan,China,04/08/2020,168,6,935,19.1959,109.7453
Hebei,China,04/08/2020,327,6,93,39.549,116.1306
Heilongjiang,China,04/08/2020,569,13,131,47.862,127.7615
Henan,China,04/08/2020,1276,22,10,33.882,113.614
Hong Kong,China,04/08/2020,960,4,75,22.3,114.2
Hubei,China,04/08/2020,67803,3213,18,30.9756,112.2707
Hunan,China,04/08/2020,1019,4,246,27.6104,111.7088
Inner Mongolia,China,04/08/2020,124,1,755,44.0935,113.9448
Jiangsu,China,04/08/2020,651,0,418,32.9711,119.455
Jiangxi,China,04/08/2020,937,1,134,27.614,115.7221
Jilin,China,04/08/2020,98,1,541,43.6661,126.1923
Liaoning,China,04/08/2020,144,2,152,41.2956,122.6085
Macau,China,04/08/2020,45,0,1,22.1667,113.55
Ningxia,China,04/08/2020,75,0,73,37.2692,106.1655
Qinghai,China,04/08/2020,18,0,173,35.7452,95.9956
Shaanxi,China,04/08/2020,256,3,1232,35.1917,108.8701
Shandong,China,04/08/2020,783,7,123,36.3427,118.1498
Shanghai,China,04/08/2020,543,7,2,31.202,121.4491
Shanxi,China,04/08/2020,163,0,9,37.5777,112.2922
Sichuan,China,04/08/2020,560,3,29,30.6171,102.7103
Tianjin,China,04/08/2020,180,3,48,39.3054,117.323
Tibet,China,04/08/2020,1,0,179,31.6927,88.0924
Xinjiang,China,04/08/2020,76,3,619,41.1129,85.2401
Yunnan,China,04/08/2020,184,2,27,24.974,101.487
Zhejiang,China,04/08/2020,1266,1,52,29.1832,120.0934
,Colombia,04/08/2020,2054,54,233,4.5709,-74.2973
,Congo (Brazzaville),04/08/2020,45,5,131,-4.0383,21.7587
,Congo (Kinshasa),04/08/2020,180,18,11,-4.0383,21.7587
,Costa Rica,04/08/2020,502,3,1621,9.7489,-83.7534
,Cote d'Ivoire,04/08/2020,384,3,25,7.54,-5.5471
,Croatia,04/08/2020,1343,19,1,45.1,15.2
,Diamond Princess,04/08/2020,712,11,50,0,0
,Cuba,04/08/2020,457,12,140,22,-80
,Cyprus,04/08/2020,526,9,305,35.1264,33.4299
,Czechia,04/08/2020,5312,99,9,49.8175,15.473
Faroe Islands,Denmark,04/08/2020,184,0,3,61.8926,-6.9118
Greenland,Denmark,04/08/2020,11,0,0,71.7069,-42.6043
,Denmark,04/08/2020,5402,218,72,56.2639,9.5018
,Djibouti,04/08/2020,135,0,7,11.8251,42.5903
,Dominican Republic,04/08/2020,2111,108,4,18.7357,-70.1627
,Ecuador,04/08/2020,4450,242,0,-1.8312,-78.1834
,Egypt,04/08/2020,1560,103,300,26,30
,El Salvador,04/08/2020,93,5,34,13.7942,-88.8965
