Province/State,Country/Region,last update,confirmed,deaths,recovered,Lat,Long
,Afghanistan,04/17/2020,906,30,99,33,65
,Albania,04/17/2020,539,26,283,41.1533,20.1683
,Algeria,04/17/2020,2418,364,846,28.0339,1.6596
,Andorra,04/17/2020,696,35,191,42.5063,1.5218
,Angola,04/17/2020,19,2,5,-11.2027,17.8739
,Antigua and Barbuda,04/17/2020,23,3,3,17.0608,-61.7964
,Argentina,04/17/2020,2669,123,666,-38.4161,-63.6167
,Armenia,04/17/2020,1201,19,402,40.0691,45.0382
Australian Capital Territory,Australia,04/17/2020,103,3,81,-35.4735,149.0124
New South Wales,Australia,04/17/2020,2926,26,1379,-33.8688,151.2093
Northern Territory,Australia,04/17/2020,28,0,9,-12.4634,130.8456
Queensland,Australia,04/17/2020,1007,5,442,-28.0167,153.4
South Australia,Australia,04/17/2020,435,4,331,-34.9285,138.6007
Tasmania,Australia,04/17/2020,180,7,67,-41.4545,145.9707
Victoria,Australia,04/17/2020,1302,14,1159,-37.8136,144.9631
Western Australia,Australia,04/17/2020,541,7,340,-31.9505,115.8605
,Austria,04/17/2020,14595,431,9704,47.5162,14.5501
,Azerbaijan,04/17/2020,1340,15,528,40.1431,47.5769
,Bahamas,04/17/2020,54,9,6,25.0343,-77.3963
,Bahrain,04/17/2020,1740,7,725,26.0275,50.55
,Bangladesh,04/17/2020,1838,75,58,23.685,90.3563
,Barbados,04/17/2020,75,5,15,13.1939,-59.5432
,Belarus,04/17/2020,4779,42,342,53.7098,27.9534
,Belgium,04/17/2020,36138,5163,7961,50.8333,4
,Benin,04/17/2020,35,1,0,9.3077,2.3158
,Bhutan,04/17/2020,5,0,18,27.5142,90.4336
,Bolivia,04/17/2020,465,31,2,-16.2902,-63.5887
,Bosnia and Herzegovina,04/17/2020,1214,46,26,43.9159,17.6791
,Brazil,04/17/2020,33682,2141,320,-14.235,-51.9253
,Brunei,04/17/2020,136,1,14026,4.5353,114.7277
,Bulgaria,04/17/2020,846,41,112,42.7339,25.4858
,Burkina Faso,04/17/2020,557,35,141,12.2383,-1.5616
,Cabo Verde,04/17/2020,56,1,294,16.5388,-23.0418
,Cambodia,04/17/2020,122,0,1,11.55,104.9167
,Cameroon,04/17/2020,996,22,98,3.848,11.5021
Alberta,Canada,04/17/2020,2397,50,164,53.9333,-116.5765
British Columbia,Canada,04/17/2020,1575,77,10545,49.2827,-123.1207
Grand Princess,Canada,04/17/2020,13,0,4,37.6489,-122.6655
Manitoba,Canada,04/17/2020,250,5,5,53.7609,-98.8139
New Brunswick,Canada,04/17/2020,117,0,3621,46.5653,-66.4619
Newfoundland and Labrador,Canada,04/17/2020,256,3,984,53.1355,-57.6604
Nova Scotia,Canada,04/17/2020,606,4,509,44.682,-63.7443
Ontario,Canada,04/17/2020,10456,524,570,51.2538,-85.3232
Prince Edward Island,Canada,04/17/2020,26,0,334,46.5107,-63.4168
Quebec,Canada,04/17/2020,16798,688,137,52.9399,-73.5491
Saskatchewan,Canada,04/17/2020,307,4,1475,52.9399,-106.4509
,Central African Republic,04/17/2020,12,0,252,6.6111,20.9394
,Chad,04/17/2020,27,0,144,15.4542,18.7322
,Chile,04/17/2020,9252,116,162,-35.6751,-71.543
Anhui,China,04/17/2020,991,6,316,31.8257,117.2264
Beijing,China,04/17/2020,593,8,471,40.1824,116.4142
Chongqing,China,04/17/2020,579,6,1254,30.0572,107.874
Fujian,China,04/17/2020,354,1,533,26.0789,117.9874
Gansu,China,04/17/2020,139,2,63487,37.8099,101.0583
Guangdong,China,04/17/2020,1577,8,1014,23.3417,113.4244
Guangxi,China,04/17/2020,254,2,103,23.8298,108.7881
Guizhou,China,04/17/2020,146,2,643,26.8154,106.8748
Hainan,China,04/17/2020,168,6,936,19.1959,109.7453
Hebei,China,04/17/2020,328,6,97,39.549,116.1306
Heilongjiang,China,04/17/2020,872,13,140,47.862,127.7615
Henan,China,04/17/2020,1276,22,16,33.882,113.614
Hong Kong,China,04/17/2020,1021,4,75,22.3,114.2
Hubei,China,04/17/2020,68128,4512,18,30.9756,112.2707
Hunan,China,04/17/2020,1019,4,252,27.6104,111.7088
Inner Mongolia,China,04/17/2020,193,1,761,44.0935,113.9448
Jiangsu,China,04/17/2020,653,0,512,32.9711,119.455
Jiangxi,China,04/17/2020,937,1,135,27.614,115.7221
Jilin,China,04/17/2020,102,1,552,43.6661,126.1923
Liaoning,China,04/17/2020,146,2,173,41.2956,122.6085
Macau,China,04/17/2020,45,0,1,22.1667,113.55
Ningxia,China,04/17/2020,75,0,73,37.2692,106.1655
Qinghai,China,04/17/2020,18,0,177,35.7452,95.9956
Shaanxi,China,04/17/2020,256,3,1246,35.1917,108.8701
Shandong,China,04/17/2020,787,7,634,36.3427,118.1498
Shanghai,China,04/17/2020,628,7,11,31.202,121.4491
Shanxi,China,04/17/2020,197,0,25,37.5777,112.2922
Sichuan,China,04/17/2020,560,3,88,30.6171,102.7103
Tianjin,China,04/17/2020,189,3,193,39.3054,117.323
Tibet,China,04/17/2020,1,0,600,31.6927,88.0924
Xinjiang,China,04/17/2020,76,3,644,41.1129,85.2401
Yunnan,China,04/17/2020,184,2,192,24.974,101.487
Zhejiang,China,04/17/2020,1268,1,77,29.1832,120.0934
,Colombia,04/17/2020,3439,153,1174,4.5709,-74.2973
,Congo (Brazzaville),04/17/2020,143,6,171,-4.0383,21.7587
,Congo (Kinshasa),04/17/2020,287,23,11,-4.0383,21.7587
,Costa Rica,04/17/2020,649,4,3389,9.7489,-83.7534
,Cote d'Ivoire,04/17/2020,688,6,76,7.54,-5.5471
,Croatia,04/17/2020,1814,36,8,45.1,15.2
,Diamond Princess,04/17/2020,712,13,268,0,0
,Cuba,04/17/2020,923,31,838,22,-80
